SS;Tarefa;Ordem;Proprietário;Tipo;Serviço;Status;Data;Valor;Cod_Problema;Problema;Sumário;Assunto;Descrição;Cod_Resolução;Resolução;Posto;Chassi;Série;Descrição.1;RTM;Bandeira;Endereço;Mantenedor;Cliente;Resolvido;Sumário da Resolução;Aging1;Aging2
8060879;92668810;;de Freitas, Fabio (Contractor) (Fabio (Contractor) de Freitas);BOMBA;PARTIDA INICIAL;FECHADO;03/06/2025 12:28:50;R$958,00;WAY-183;SOLICITAÇÃO DE PARTIDA INICIAL;[PI]SOLICITAÇÃO DE PARTIDA INICIAL PARA DIA: 05/06/2025;Partida inicial na bomba modelo: H(W/LU)33-33ES-S.820761;CNPJ: 44.147.811/0001-04 CONTATO: Jeferson TELEFONE: (44)99944-4332 / (44)3019-5085 Partida inicial na bomba modelo: H(W/LU)33-33ES-S.820761 Nas bombas n° séries: 820761 / 820762;WAY-305;PARTIDA INICIAL - COM FALHA;J J DE SOUZA LTDA;820761;W7HXH-4048471;"BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - H(W/LU)33-33ES - 4048471 - H(W/LU)33-33ES/BRIPNI/A2C2F2F4F12G6H7XJ2XL3//A2B5C11E3F2G4L2M/A7B2C2K2M3XD/AF2/40,GRN;40,GRN;40,BLU;40,BLU;40,YEL;40,YEL";;;AVENIDA, EDSON DE LIMA SOUTO, 567, , ZONA 02, CIANORTE, PR, BR, BR, 87200398;., Romario - DINIZ ASSISTENCIA TECNICA LTDA;J J DE SOUZA LTDA;04/06/2025 07:49:00;PI REALIZADA, POREM, BOMBA APRESENTOU VAZAMENTO DE COMBUSTÍVEL NO BICO S10;1;11
8060869;92668806;;Nogueira, Victor M;BOMBA;GARANTIA COMERCIAL BOMBA;FECHADO;03/06/2025 12:33:20;1.400,00;WAY-198;OUTROS;[GCB] RETORNO AO POSTO PARA INSTALAÇÃO DAS BUCHAS DE REDUÇÃO DE 2X1 POLEGADAS, E TERMINO DA LIGAÇÃO DOS RETORNOS DOS DENSÍMETROS.;CHAMADO JÁ ATENDIDO EM 14/05/2025.;CHAMADO ABERTO PARA FATURAMENTO.;WAY-OUTROS;WAY-OUTROS;RODOPOSTO BANDEIRANTES 81 LTDA;791774;W7GVIS-3865743;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3494D - 3865743 - 3/G3494D/BRWG/C2F2G6//B3C4E3G4L2M/A2/F2/40,GRN50,GRN50,RED50,RED50,YEL50,YEL50,SIL50,SIL;;;RODOVIA, DOS BANDEIRANTES, SN, KM 81, JARDIM NOVA AMERICA, CAMPINAS, SP, BR, BR, 13053039;SALES, LUIZ - TECNICA L S COMERCIAL E SERVI;RODOPOSTO BANDEIRANTES 81 LTDA;03/06/2025 13:49:00;INSTALADAS BUCHAS DE REDUÇÃO, E FINALIZADA LIGAÇÃO DOS RETORNOS DOS DENSÍMETROS. ATENDIDO EM 14/05/2025.;0;0
8060877;92668808;;Nogueira, Victor M;BOMBA;GARANTIA COMERCIAL BOMBA;FECHADO;03/06/2025 12:48:57;0;WAY-198;OUTROS;[GCB] RETORNO AO POSTO PARA INSTALAÇÃO DAS BUCHAS DE REDUÇÃO DE 2X1 POLEGADAS, E TERMINO DA LIGAÇÃO DOS RETORNOS DOS DENSÍMETROS.;CHAMADO JÁ ATENDIDO EM 14/05/2025.;CHAMADO ABERTO PARA FATURAMENTO. ADICIONAR AO VALOR DO CHAMADO 8060869.;WAY-OUTROS;WAY-OUTROS;RODOPOSTO BANDEIRANTES 81 LTDA;791775;W7GVIS-3865745;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3494D - 3865745 - 3/G3494D/BRWG/C2F2G6//B3C4E3G4L2M/A2/F2/40,GRN50,GRN50,RED50,RED50,RED50,RED50,YEL50,YEL;;;RODOVIA, DOS BANDEIRANTES, SN, KM 81, JARDIM NOVA AMERICA, CAMPINAS, SP, BR, BR, 13053039;SALES, LUIZ - TECNICA L S COMERCIAL E SERVI;RODOPOSTO BANDEIRANTES 81 LTDA;03/06/2025 13:52:00;INSTALADAS BUCHAS DE REDUÇÃO, E FINALIZADA LIGAÇÃO DOS RETORNOS DOS DENSÍMETROS. ATENDIDO EM 14/05/2025.;0;0
8060881;92668811;;Nogueira, Victor M;BOMBA;GARANTIA COMERCIAL BOMBA;FECHADO;03/06/2025 12:50:19;0;WAY-198;OUTROS;[GCB] RETORNO AO POSTO PARA INSTALAÇÃO DAS BUCHAS DE REDUÇÃO DE 2X1 POLEGADAS, E TERMINO DA LIGAÇÃO DOS RETORNOS DOS DENSÍMETROS.;CHAMADO JÁ ATENDIDO EM 14/05/2025.;CHAMADO ABERTO PARA FATURAMENTO. ADICIONAR AO VALOR DO CHAMADO 8060869.;WAY-OUTROS;WAY-OUTROS;RODOPOSTO BANDEIRANTES 81 LTDA;791776;W7GVIS-3865745;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3494D - 3865745 - 3/G3494D/BRWG/C2F2G6//B3C4E3G4L2M/A2/F2/40,GRN50,GRN50,RED50,RED50,RED50,RED50,YEL50,YEL;;;RODOVIA, DOS BANDEIRANTES, SN, KM 81, JARDIM NOVA AMERICA, CAMPINAS, SP, BR, BR, 13053039;SALES, LUIZ - TECNICA L S COMERCIAL E SERVI;RODOPOSTO BANDEIRANTES 81 LTDA;03/06/2025 13:53:00;INSTALADAS BUCHAS DE REDUÇÃO, E FINALIZADA LIGAÇÃO DOS RETORNOS DOS DENSÍMETROS. ATENDIDO EM 14/05/2025.;0;0
8060883;92668812;;de Freitas, Fabio (Contractor) (Fabio (Contractor) de Freitas);BOMBA;PARTIDA INICIAL;FECHADO;03/06/2025 12:50:54;0;WAY-183;SOLICITAÇÃO DE PARTIDA INICIAL;[PI]SOLICITAÇÃO DE PARTIDA INICIAL PARA DIA: 05/06/2025;Partida inicial na bomba modelo: H(W/LU)22-22ES-S.820762;CNPJ: 44.147.811/0001-04 CONTATO: Jeferson TELEFONE: (44)99944-4332 / (44)3019-5085 Partida inicial na bomba modelo: H(W/LU)22-22ES-S.820762 **Adicionar a partida desta bomba ao chamado: 8060879;WAY-305;PARTIDA INICIAL - COM FALHA;J J DE SOUZA LTDA;820762;W7HXH-4048473;"BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - H(N/LU)22-22ES - 4048473 - H(N/LU)22-22ES/BRIPNI/A2C2F2F4F12G6H7XJ2XL3//A2B5C11E3F2G4L2M/A7B2C2K2M3/AF2/40,GRN;40,GRN;40,ORN;40,ORN";;;AVENIDA, EDSON DE LIMA SOUTO, 567, , ZONA 02, CIANORTE, PR, BR, BR, 87200398;., Romario - DINIZ ASSISTENCIA TECNICA LTDA;J J DE SOUZA LTDA;04/06/2025 08:13:00;PI REALIZADA, POREM, BICO APRESENTOU VAZAMENTO NO PRODUTO GASOLINA ADITIVADA.;1;11
8060907;92668819;;de Freitas, Fabio (Contractor) (Fabio (Contractor) de Freitas);BOMBA;PARTIDA INICIAL;FECHADO;03/06/2025 12:54:59;R$1.695,40;WAY-183;SOLICITAÇÃO DE PARTIDA INICIAL;[PI]SOLICITAÇÃO DE PARTIDA INICIAL PARA DIA: 05/06/2025;Partida inicial na bomba modelo: 3/G2209P-S.819756;CNPJ: 08.235.663/0001-05 CONTATO: LUIZ AMERICO TELEFONE: (38)3527-1406 / (38)99191-2847  Partida inicial na bomba modelo: 3/G2209P-S.819756;WAY-304;PARTIDA INICIAL;AUTO POSTO LOPES E CORDEIRO LTDA;819756;W7GCEN-4043190;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2209P - 4043190 - 3/G2209P/BRALE/A2F2G6H7//B3C4E3G4L4/A7C2/F2/40,GRN40,GRN40,GRN40,GRN;;ALE;AVENIDA, DO CONTORNO, 668, , DISTRITO INDUSTRIAL, TURMALINA, MG, BR, BR, 39660000;FREITAS, LUCIANO - BHPUMP DO BRASIL LTDA;AUTO POSTO LOPES E CORDEIRO LTDA;06/06/2025 12:04:00;PI REALIZADO COM SUCESSO.;3;4
8060889;;;dos Santos, Otacílio (Contractor) (Otacílio (Contractor) dos Santos);BOMBA;SUPORTE TECNICO BOMBA;FECHADO;03/06/2025 12:58:02;0;WAY-198;OUTROS;[STB] CLIENTE HEITOR SOLICITA INFORMAÇOES DE PARTIDA INCIAL;;;WAY-OUTROS;WAY-OUTROS;POSTO FIXA LTDA;815551;W7GVIS-4018032;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3389P - 4018032 - 3/G3389P/BRWG/A2C2F2G6H7//B3C4E3G4L2M/A2C2/F2/40,SIL50,SIL50,SIL50,SIL;;;AVENIDA, AV MANOEL ALVES DE FREITAS, 55, , MARANHAO, ITAPIPOCA, CE, BR, BR, 62503500;;POSTO FIXA LTDA;05/06/2025 13:00:02;INFORMADO QUE PRAZO PARA PARTIDA INICIAL EM CORTESIA JÁ FOI ULTRAPASSADO;2;0
8060891;;;dos Santos, Otacílio (Contractor) (Otacílio (Contractor) dos Santos);BOMBA;SUPORTE TECNICO BOMBA;FECHADO;03/06/2025 13:00:20;0;WAY-198;OUTROS;[STB] CLIENTE HEITOR SOLICITA INFORMAÇOES DE PARTIDA INCIAL;;;WAY-OUTROS;WAY-OUTROS;POSTO FIXA LTDA;815549;W7GVIS-4018028;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3389P - 4018028 - 3/G3389P/BRWG/A2C2F2G6H7//B3C4E3G4L2M/A2C2/F2/40,RED50,RED50,YEL50,YEL;;;AVENIDA, AV MANOEL ALVES DE FREITAS, 55, , MARANHAO, ITAPIPOCA, CE, BR, BR, 62503500;;POSTO FIXA LTDA;05/06/2025 13:02:20;INFORMADO QUE PRAZO PARA PARTIDA INICIAL EM CORTESIA JÁ FOI ULTRAPASSADO;2;0
8060893;;;dos Santos, Otacílio (Contractor) (Otacílio (Contractor) dos Santos);BOMBA;SUPORTE TECNICO BOMBA;FECHADO;03/06/2025 13:00:45;0;WAY-198;OUTROS;[STB] CLIENTE HEITOR SOLICITA INFORMAÇOES DE PARTIDA INCIAL;;;WAY-OUTROS;WAY-OUTROS;POSTO FIXA LTDA;815550;W7GVIS-4018030;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3389P - 4018030 - 3/G3389P/BRWG/A2C2F2G6H7//B3C4E3G4L2M/A2C2K2/F2/40,GRN50,GRN50,RED50,RED;;;AVENIDA, AV MANOEL ALVES DE FREITAS, 55, , MARANHAO, ITAPIPOCA, CE, BR, BR, 62503500;;POSTO FIXA LTDA;03/06/2025 13:00:45;INFORMADO QUE PRAZO PARA PARTIDA INICIAL EM CORTESIA JÁ FOI ULTRAPASSADO;0;0
8060911;;183007;Ferreira De Araujo, Jose Roberto;AUTOMACAO;GARANTIA COMERCIAL AUTOMAÇÃO;FECHADO;03/06/2025 13:12:17;0;WAY-198;OUTROS;[GCA] Chamado para envio de item em garantia comercial aprovada pelo comercial Jean LIns;;;WAY-OUTROS;WAY-OUTROS;SURTIDORES SAC RUC 20100674212;;;-;;;, AV ANGAMOS OESTE 1420 RUC: 20100674212, , , , MIRAFLORES, LIMA, , PE, 18;;;;ordem: 183007;0;0
8060985;92668854;;Nogueira, Victor M;BOMBA;GARANTIA TÉCNICA;FECHADO;03/06/2025 14:18:48;1.073,50;WAY-28;BICO DE DESCARGA - DESARME ESPONTÂNEO;[GT] BICO DE DESCARGA DE GASOLINA COMUM APRESENTA DESARME ESPONTANEO.;POR GENTILEZA, PROCEDER DA SEGUINTE FORMA:;1 - CASO HAJA EM ESTOQUE, TÉCNICO DEVE LEVAR BICO DE DESCARGA OPW 11AP (SIMPLES), PN: WR001427-0001, PARA POSSÍVEL TROCA PROATIVA. ATENDER CHAMADO MESMO SE NÃO HOUVER BICO EM ESTOQUE. 2 - VALIDAR SE DEFEITO É REALMENTE NO BICO, E CASO POSITIVO, REGISTRAR MODO DE FALHA E SÉRIE DO BICO DEFEITUOSO E DO BICO NOVO INSTALADO EM BOLETIM.;WAY-153;BICO - AJUSTES / REPARO NO BICO;POSTO MAURO CABRAL LTDA;818667;W7GCEN-4027026;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2203P - 4027026 - 3/G2203P/BRPBR/A3G6H7//B2C4E3L4/A7C2/F2/40,BLU40,BLU;;;AVENIDA, JOAO HEMETRIO DE MENEZES, 0, , SANTA TEREZINHA, BELO ORIENTE, MG, BR, BR, 35195000;FREITAS, LUCIANO - BHPUMP DO BRASIL LTDA;POSTO MAURO CABRAL LTDA;12/06/2025 08:46:00;FEITO O DESMONTE DO BICO DE DESCARGA FEITO A LUBRIFICAÇÃO DAS PARTES INTERNAS (NÃO RECOMENDADO) CASO O PROBLEMA VOLTE SERA NECESSARIO A TROCA DO BICO.;7;9
8060963;;183010;Lucas, Jefferson Monteiro da Silva;OUTRO;OUTRO;FECHADO;03/06/2025 14:25:05;0;WAY-28;BICO DE DESCARGA - DESARME ESPONTÂNEO;[GTP] CHAMADO PARA ENVIO DE BICO - REFERENTE AO TICKET: 11057 / NF: 227803. MATERIAL SERÁ ENVIADO ATRAVÉS DA ORDEM: 183010.;;;WAY-156;BICO - TROCA DO BICO POR DESARME ANTES DO TERMINO DO ABASTECIMENTO;LEONE EQUIPAMENTOS AUTOMOTIVOS LTDA;;;-;;;RUA, SOLON, 950, , BOM RETIRO, SAO PAULO, SP, BR, BR, 01127010;;;03/06/2025 14:29:05;ORDEM: 183010.;0;0
8060969;;;Simões, Wanderley;AUTOMACAO;SUPORTE REMOTO AUTOMAÇÃO;FECHADO;03/06/2025 14:28:34;0;WAY-198;OUTROS;[SRA] TÉCNICO ANDRÉ ENTROU EM CONTATO SOLICITANDO SUPORTE PARA CONFIGURAR SONDA;;;WAY-OUTROS;WAY-OUTROS;AUTO POSTO PREDILETO LTDA;;;-;;;, , , , , , , , ,;;;03/06/2025 14:30:00;Realizado acesso remoto ao sistema e executada a configuração dos parâmetros operacionais das sondas, assegurando a correta comunicação e funcionamento com o sistema de automação.;0;0
8061013;;;Nogueira, Victor M;BOMBA;SUPORTE TECNICO BOMBA;FECHADO;03/06/2025 15:25:51;0;WAY-198;OUTROS;[STB][RTM] ROMÁRIO DA DINIZ ENTROU EM CONTATO INFORMANDO QUE BOMBA APRESENTA ERRO BTL 003. NÃO ESTAVA NO POSTO, ENTROU EM CONTATO COM ANTECEDENCIA PARA ENTENDER O PROBLEMA.;;;WAY-OUTROS;WAY-OUTROS;MANEIRO AUTO POSTO LTDA;803139;W7GCEN-3951112;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2203P - 3951112 - 3/G2203P/BRWG/A3G6YC//B3C4E3G4L4M/A7C2K2/F2/40,RED40,GRN;RTM;;RUA, CEL. EMILIO GOMES, 607, , CENTRO, RIBEIRAO CLARO, PR, BR, BR, 86410000;;MANEIRO AUTO POSTO LTDA;03/06/2025 15:27:00;FOI VERIFICADO E INFORMADO TODOS OS REQUISITOS NECESSÁRIO PARA RETIRADA DO ERRO, INCLUSIVE BATERIA NOVA E NOTEBOOK COM CABO MICRO USB E SERVTERM.;0;0
